Player,No,Pos,DOB/Age,Caps,Club,Country,ClubCountry,Year,Gols
André Saeys,,4FW,(1911-02-20)20 February 1911 (aged 19),0,Royal CS Brugeois,Belgium,Belgium,1930,0
Louis Versyp,,4FW,(1908-12-05)5 December 1908 (aged 21),7,Royal FC Brugeois,Belgium,Belgium,1930,0
Bernard Voorhoof,,4FW,(1910-05-10)10 May 1910 (aged 20),6,Liersche Sportkring,Belgium,Belgium,1930,0
Ernesto Albarracín,,3MF,(1907-09-25)25 September 1907 (aged 26),0,Club Sportivo Buenos Aires,Argentina,Argentina,1934,0
Ramón Astudillo,,2DF,,0,Colón de Santa Fe,Argentina,Argentina,1934,0
Ernesto Belis,,2DF,(1909-02-01)1 February 1909 (aged 25),0,Defensores de Belgrano,Argentina,Argentina,1934,0
Enrique Chimento,,2DF,,0,Barracas Central,Argentina,Argentina,1934,0
Alfredo Devincenzi (c),,4FW,(1911-01-24)24 January 1911 (aged 23),3,Club Atlético Estudiantil Porteño,Argentina,Argentina,1934,0
Héctor Freschi,,1GK,(1911-05-22)22 May 1911 (aged 23),0,Sarmiento de Resistencia,Argentina,Argentina,1934,0
Alberto Galateo,,4FW,(1912-03-04)4 March 1912 (aged 22),0,Unión de Santa Fe,Argentina,Argentina,1934,0
Ángel Grippa,,1GK,(1914-03-02)2 March 1914 (aged 20),0,Club Sportivo Alsina,Argentina,Argentina,1934,0
Roberto Irañeta,,4FW,(1915-03-21)21 March 1915 (aged 19),0,Gimnasia y Esgrima de Mendoza,Argentina,Argentina,1934,0
Luis Izzeta,,4FW,,0,Defensores de Belgrano,Argentina,Argentina,1934,0
Arcadio López,,3MF,(1910-09-15)15 September 1910 (aged 23),2,Club Sportivo Buenos Aires,Argentina,Argentina,1934,0
Alfonso Lorenzo,,3MF,,0,Barracas Central,Argentina,Argentina,1934,0
José Nehin,,3MF,(1905-10-13)13 October 1905 (aged 28),0,Sportivo Desamparados,Argentina,Argentina,1934,0
Juan Pedevilla,,2DF,(1909-06-06)6 June 1909 (aged 24),0,Club Atletico Estudiantil Porteño,Argentina,Argentina,1934,0
Francisco Pérez,,4FW,,0,Almagro,Argentina,Argentina,1934,0
Francisco Rúa,,4FW,(1911-02-04)4 February 1911 (aged 23),0,Sportivo Dock Sud,Argentina,Argentina,1934,0
Constantino Urbieta Sosa,,3MF,(1907-08-12)12 August 1907 (aged 26),0,Godoy Cruz,Argentina,Argentina,1934,0
Federico Wilde,,4FW,1909,0,Unión de Santa Fe,Argentina,Argentina,1934,0
Josef Bican,,4FW,(1913-09-25)25 September 1913 (aged 20),6,Rapid Wien,Austria,Austria,1934,0
Georg Braun,,4FW,(1907-02-22)22 February 1907 (aged 27),11,Wiener AC,Austria,Austria,1934,0
Franz Cisar,,2DF,(1908-11-28)28 November 1908 (aged 25),5,Wiener AC,Austria,Austria,1934,0
Friederich Franzl,,1GK,(1905-03-06)6 March 1905 (aged 29),15,Wiener SC,Austria,Austria,1934,0
Josef Hassmann,,4FW,(1910-05-21)21 May 1910 (aged 24),0,First Vienna,Austria,Austria,1934,0
Leopold Hofmann,,3MF,(1905-10-31)31 October 1905 (aged 28),19,First Vienna,Austria,Austria,1934,0
Johann Horvath,,4FW,(1903-05-20)20 May 1903 (aged 31),43,First Vienna,Austria,Austria,1934,0
Anton Janda,,2DF,(1904-05-01)1 May 1904 (aged 30),9,Admira Wien,Austria,Austria,1934,0
Matthias Kaburek,,4FW,(1911-02-09)9 February 1911 (aged 23),2,Rapid Wien,Austria,Austria,1934,0
Peter Platzer,,1GK,(1910-05-29)29 May 1910 (aged 23),11,Admira Wien,Austria,Austria,1934,0
Rudolf Raftl,,1GK,(1911-02-07)7 February 1911 (aged 23),1,Rapid Wien,Austria,Austria,1934,0
Anton Schall,,4FW,(1907-06-22)22 June 1907 (aged 26),26,Admira Wien,Austria,Austria,1934,0
Willibald Schmaus,,2DF,(1911-06-16)16 June 1911 (aged 22),0,First Vienna,Austria,Austria,1934,0
Karl Sesta,,2DF,(1906-03-18)18 March 1906 (aged 28),16,Wiener AC,Austria,Austria,1934,0
Matthias Sindelar,,4FW,(1903-02-10)10 February 1903 (aged 31),30,Austria Wien,Austria,Austria,1934,0
Josef Smistik (c),,3MF,(1905-11-28)28 November 1905 (aged 28),28,Rapid Wien,Austria,Austria,1934,0
Josef Stroh,,4FW,(1913-03-05)5 March 1913 (aged 21),0,Austria Wien,Austria,Austria,1934,0
Johann Urbanek,,3MF,(1910-10-10)10 October 1910 (aged 23),1,Admira Wien,Austria,Austria,1934,0
Rudolf Viertl,,4FW,(1902-11-12)12 November 1902 (aged 31),9,Austria Wien,Austria,Austria,1934,0
Franz Wagner,,3MF,(1911-09-23)23 September 1911 (aged 22),7,Rapid Wien,Austria,Austria,1934,0
Hans Walzhofer,,4FW,(1906-03-23)23 March 1906 (aged 28),4,Wacker Wien,Austria,Austria,1934,0
Karl Zischek,,4FW,(1910-08-28)28 August 1910 (aged 23),20,Wacker Wien,Austria,Austria,1934,0
Arnold Badjou,,1GK,(1909-06-26)26 June 1909 (aged 24),12,Royal Daring Club Molenbeek,Belgium,Belgium,1934,0
Désiré Bourgeois,,3MF,(1908-12-13)13 December 1908 (aged 25),2,Royal FC Malinois,Belgium,Belgium,1934,0
Jean Brichaut,,4FW,(1911-07-29)29 July 1911 (aged 22),11,Standard Liège,Belgium,Belgium,1934,0
Jean Capelle,,4FW,(1913-10-26)26 October 1913 (aged 20),14,Standard Liège,Belgium,Belgium,1934,0
Jean Claessens,,3MF,(1908-06-18)18 June 1908 (aged 25),12,R. Union Saint-Gilloise,Belgium,Belgium,1934,0
François Devries,,4FW,(1913-08-21)21 August 1913 (aged 20),0,Royal Antwerp FC,Belgium,Belgium,1934,0
Laurent Grimmonprez,,4FW,(1902-12-14)14 December 1902 (aged 31),9,Royal Racing Club de Gand,Belgium,Belgium,1934,0
August Hellemans,,3MF,(1907-09-14)14 September 1907 (aged 26),28,Royal FC Malinois,Belgium,Belgium,1934,0
Albert Heremans,,4FW,(1906-04-13)13 April 1906 (aged 28),6,Royal Daring Club Molenbeek,Belgium,Belgium,1934,0
Constant Joacim,,2DF,(1908-03-03)3 March 1908 (aged 26),2,Royal Berchem Sport,Belgium,Belgium,1934,0
Robert Lamoot,,4FW,(1911-03-18)18 March 1911 (aged 23),1,Royal Daring Club Molenbeek,Belgium,Belgium,1934,0
François Ledent,,4FW,(1908-07-04)4 July 1908 (aged 25),2,Standard Liège,Belgium,Belgium,1934,0
Jules Pappaert,,2DF,(1905-11-05)5 November 1905 (aged 28),4,R. Union Saint-Gilloise,Belgium,Belgium,1934,0
Frans Peeraer,,3MF,(1913-02-15)15 February 1913 (aged 21),2,Royal Antwerp FC,Belgium,Belgium,1934,0
Victor Putmans,,3MF,(1914-05-29)29 May 1914 (aged 19),,Royale Union Hutoise,Belgium,Belgium,1934,0
René Simons,,3MF,(1904-04-10)10 April 1904 (aged 30),,KSK Liersche,Belgium,Belgium,1934,0
Philibert Smellinckx,,2DF,(1911-01-17)17 January 1911 (aged 23),5,R. Union Saint-Gilloise,Belgium,Belgium,1934,0
Joseph Van Ingelgem,,3MF,(1912-01-23)23 January 1912 (aged 22),11,Royal Daring Club Molenbeek,Belgium,Belgium,1934,0
André Vandewyer,,1GK,(1909-06-21)21 June 1909 (aged 24),4,R. Union Saint-Gilloise,Belgium,Belgium,1934,0
Louis Versyp,,4FW,(1908-12-05)5 December 1908 (aged 25),33,Royal FC Brugeois,Belgium,Belgium,1934,0
Bernard Voorhoof,,4FW,(1910-05-10)10 May 1910 (aged 24),31,KSK Liersche,Belgium,Belgium,1934,0
Félix Welkenhuysen (c),,3MF,(1908-12-12)12 December 1908 (aged 25),3,R. Union Saint-Gilloise,Belgium,Belgium,1934,0
Ariel,-,3MF,(1910-02-22)22 February 1910 (aged 24),0,Botafogo,Brazil,Brazil,1934,0
Armandinho,-,4FW,(1911-03-06)6 March 1911 (aged 23),0,São Paulo,Brazil,Brazil,1934,0
Áttila,-,4FW,(1910-12-16)16 December 1910 (aged 23),0,Botafogo,Brazil,Brazil,1934,0
Canalli,-,3MF,(1907-03-12)12 March 1907 (aged 27),1,Botafogo,Brazil,Brazil,1934,0
Carvalho Leite,-,4FW,(1912-06-25)25 June 1912 (aged 21),4,Botafogo,Brazil,Brazil,1934,0
Domingos da Guia,-,2DF,(1912-11-19)19 November 1912 (aged 25),2,Nacional,Brazil,Uruguay,1934,0
Germano,-,1GK,(1911-03-14)14 March 1911 (aged 23),0,Botafogo,Brazil,Brazil,1934,0
Leônidas,-,4FW,(1913-11-06)6 November 1913 (aged 20),1,Vasco da Gama,Brazil,Brazil,1934,0
Luiz Luz,-,2DF,(1909-11-29)29 November 1909 (aged 24),0,Americano-RS,Brazil,Brazil,1934,0
Luisinho,-,4FW,(1911-03-29)29 March 1911 (aged 23),0,São Paulo,Brazil,Brazil,1934,0
Martim,-,3MF,(1911-03-02)2 March 1911 (aged 23),1,Botafogo,Brazil,Brazil,1934,0
Octacílio,-,2DF,(1909-11-21)21 November 1909 (aged 24),0,Botafogo,Brazil,Brazil,1934,0
Pamplona,-,3MF,(1904-03-24)24 March 1904 (aged 30),2,Botafogo,Brazil,Brazil,1934,0
Patesko,-,4FW,(1910-11-12)12 November 1910 (aged 23),0,Nacional,Brazil,Uruguay,1934,0
Pedrosa,-,1GK,(1913-07-08)8 July 1913 (aged 20),0,Botafogo,Brazil,Brazil,1934,0
Sylvio Hoffmann,-,2DF,(1908-05-15)15 May 1908 (aged 26),0,São Paulo,Brazil,Brazil,1934,0
Tinoco,-,3MF,(1904-12-02)2 December 1904 (aged 29),0,Vasco da Gama,Brazil,Brazil,1934,0
Wálter Guimarães,-,3MF,(1912-03-21)21 March 1912 (aged 22),0,Botafogo,Brazil,Brazil,1934,0
Waldemar de Brito,-,4FW,(1913-05-17)17 May 1913 (aged 21),0,São Paulo,Brazil,Brazil,1934,0
Jaroslav Bouček,,3MF,(1912-11-13)13 November 1912 (aged 21),1,Sparta Prague,Czechoslovakia,Czechoslovakia,1934,0
Jaroslav Burgr,,2DF,(1906-03-07)7 March 1906 (aged 28),31,Sparta Prague,Czechoslovakia,Czechoslovakia,1934,0
Štefan Čambal,,3MF,(1908-12-17)17 December 1908 (aged 25),14,Slavia Prague,Czechoslovakia,Czechoslovakia,1934,0
Josef Čtyřoký,,2DF,(1906-09-30)30 September 1906 (aged 27),18,Sparta Prague,Czechoslovakia,Czechoslovakia,1934,0
Ferdinand Daučík,,2DF,(1910-05-31)31 May 1910 (aged 23),1,ČsŠK Bratislava,Czechoslovakia,Czechoslovakia,1934,0
František Junek,,4FW,(1907-01-17)17 January 1907 (aged 27),26,Slavia Prague,Czechoslovakia,Czechoslovakia,1934,0
Géza Kalocsay,,4FW,(1913-05-30)30 May 1913 (aged 20),1,Sparta Prague,Czechoslovakia,Czechoslovakia,1934,0
Vlastimil Kopecký,,3MF,(1912-10-14)14 October 1912 (aged 21),4,Slavia Prague,Czechoslovakia,Czechoslovakia,1934,0
Josef Košťálek,,3MF,(1909-08-31)31 August 1909 (aged 24),11,Sparta Prague,Czechoslovakia,Czechoslovakia,1934,0
Rudolf Krčil,,3MF,(1906-03-05)5 March 1906 (aged 28),12,Slavia Prague,Czechoslovakia,Czechoslovakia,1934,0
Oldřich Nejedlý,,4FW,(1909-12-25)25 December 1909 (aged 24),14,Sparta Prague,Czechoslovakia,Czechoslovakia,1934,0
Čestmír Patzel,,1GK,(1914-12-02)2 December 1914 (aged 19),0,Teplitzer FK,Czechoslovakia,Czechoslovakia,1934,0
František Plánička (c),,1GK,(1904-06-02)2 June 1904 (aged 29),48,Slavia Prague,Czechoslovakia,Czechoslovakia,1934,0
Antonín Puč,,4FW,(1907-05-16)16 May 1907 (aged 27),42,Slavia Prague,Czechoslovakia,Czechoslovakia,1934,0
Josef Silný,,4FW,(1902-01-23)23 January 1902 (aged 32),49,Nîmes,Czechoslovakia,France,1934,0
Adolf Šimperský,,3MF,(1909-08-05)5 August 1909 (aged 24),11,Slavia Prague,Czechoslovakia,Czechoslovakia,1934,0
Jiří Sobotka,,4FW,(1911-06-06)6 June 1911 (aged 22),3,Slavia Prague,Czechoslovakia,Czechoslovakia,1934,0
Erich Srbek,,4FW,(1908-06-04)4 June 1908 (aged 25),6,Sparta Prague,Czechoslovakia,Czechoslovakia,1934,0
František Šterc,,4FW,(1912-01-27)27 January 1912 (aged 22),0,Židenice,Czechoslovakia,Czechoslovakia,1934,0
František Svoboda,,4FW,(1905-07-05)5 July 1905 (aged 28),39,Slavia Prague,Czechoslovakia,Czechoslovakia,1934,0
Antonín Vodička,,3MF,(1907-03-01)1 March 1907 (aged 27),14,Slavia Prague,Czechoslovakia,Czechoslovakia,1934,0
Ladislav Ženíšek,,2DF,(1904-03-07)7 March 1904 (aged 30),15,Slavia Prague,Czechoslovakia,Czechoslovakia,1934,0
Mohammed Bakhati,,3MF,,1,Zamalek Mokhtalat,Egypt,Egypt,1934,0
Hassan El-Far,,3MF,(1913-01-01)1 January 1913 (aged 21),2,Zamalek Mokhtalat,Egypt,Egypt,1934,0
Mahmoud El-Nigero,,4FW,,0,Cairo Shourta Police,Egypt,Egypt,1934,0
Ali El-Kaf,,2DF,(1906-06-15)15 June 1906 (aged 27),2,Zamalek Mokhtalat,Egypt,Egypt,1934,0
Yacout El-Soury,,2DF,,4,Al-Ittihad,Egypt,Egypt,1934,0
Mahmoud 'El-Tetsh' Mokhtar (c),,4FW,(1907-12-23)23 December 1907 (aged 26),5,Al Ahly,Egypt,Egypt,1934,0
Aziz Fahmy,,1GK,,1,Al Ahly,Egypt,Egypt,1934,0
Abdulrahman Fawzi,,4FW,(1909-08-11)11 August 1909 (aged 24),2,Al-Masry AC Port Said,Egypt,Egypt,1934,0
Ahmed Halim Ibrahim,,3MF,(1910-02-10)10 February 1910 (aged 24),,Zamalek Mokhtalat,Egypt,Egypt,1934,0
Hamidu,,2DF,,2,Al-Olympi Alexandria,Egypt,Egypt,1934,0
Mohammed Hassan,,4FW,(1905-02-05)5 February 1905 (aged 29),-,Al-Masry AC Port Said,Egypt,Egypt,1934,0
Hafez Kasseb,,3MF,,0,Al-Olympi Alexandria,Egypt,Egypt,1934,0
Mohamed Latif,,4FW,(1909-10-23)23 October 1909 (aged 24),2,Zamalek Mokhtalat,Egypt,Egypt,1934,0
Labib Mahmoud,,4FW,,0,Al Ahly,Egypt,Egypt,1934,0
Mustafa Mansour,,1GK,(1914-08-02)2 August 1914 (aged 19),,Al Ahly,Egypt,Egypt,1934,0
Kamel Mosaoud,,4FW,(1914-08-02)2 August 1914 (aged 19),,Al Ahly,Egypt,Egypt,1934,0
Ismail Rafaat,,3MF,(1908-01-01)1 January 1908 (aged 26),0,Zamalek Mokhtalat,Egypt,Egypt,1934,0
Hassan Raghab,,3MF,(1909-01-01)1 January 1909 (aged 25),2,Union Recreation Ithad,Egypt,Egypt,1934,0
Mostafa Taha,,4FW,(1910-03-23)23 March 1910 (aged 24),,Zamalek Mokhtalat,Egypt,Egypt,1934,0
Moustafa Helmi Youssef,,3MF,(1911-06-11)11 June 1911 (aged 22),0,Al-Masry AC Port Said,Egypt,Egypt,1934,0
Joseph Alcazar,,4FW,(1911-06-15)15 June 1911 (aged 22),9,Marseille,France,France,1934,0
Alfred Aston,,4FW,(1912-05-16)16 May 1912 (aged 22),4,Red Star Paris,France,France,1934,0
Georges Beaucourt,,3MF,(1912-04-15)15 April 1912 (aged 22),0,Lille,France,France,1934,0
Roger Courtois,,4FW,(1912-05-30)30 May 1912 (aged 21),1,Sochaux,France,France,1934,0
Robert Défossé,,1GK,(1909-06-16)16 June 1909 (aged 24),8,Lille,France,France,1934,0
Edmond Delfour,,3MF,(1907-11-01)1 November 1907 (aged 26),24,Racing Club,France,France,1934,0
Célestin Delmer,,3MF,(1907-02-15)15 February 1907 (aged 27),11,Excelsior Roubaix,France,France,1934,0
Louis Gabrillargues,,3MF,(1914-06-16)16 June 1914 (aged 19),0,Sète,France,France,1934,0
Joseph Gonzales,,2DF,(1907-02-19)19 February 1907 (aged 27),0,Fives,France,France,1934,0
Fritz Keller,,4FW,(1913-08-21)21 August 1913 (aged 20),1,Strasbourg,France,France,1934,0
Pierre Korb,,4FW,(1908-04-20)20 April 1908 (aged 26),12,Mulhouse,France,France,1934,0
Lucien Laurent,,4FW,(1907-12-10)10 December 1907 (aged 26),9,CA Paris,France,France,1934,0
Noël Liétaer,,3MF,(1908-11-17)17 November 1908 (aged 25),5,Excelsior Roubaix,France,France,1934,0
René Llense,,1GK,(1913-07-14)14 July 1913 (aged 20),0,Sète,France,France,1934,0
Jacques Mairesse,,2DF,(1905-02-27)27 February 1905 (aged 29),5,Red Star Paris,France,France,1934,0
Étienne Mattler,,2DF,(1905-12-25)25 December 1905 (aged 28),21,Sochaux,France,France,1934,0
Jean Nicolas,,4FW,(1913-06-09)9 June 1913 (aged 20),11,Rouen,France,France,1934,0
Roger Rio,,3MF,(1913-02-13)13 February 1913 (aged 21),10,Rouen,France,France,1934,0
Alex Thépot (c),,1GK,(1906-07-30)30 July 1906 (aged 27),27,Red Star Paris,France,France,1934,0
Jules Vandooren,,2DF,(1908-12-30)30 December 1908 (aged 25),7,Lille,France,France,1934,0
Émile Veinante,,4FW,(1907-06-12)12 June 1907 (aged 26),11,Racing Club,France,France,1934,0
Georges Verriest,,3MF,(1909-07-15)15 July 1909 (aged 24),4,Excelsior Roubaix,France,France,1934,0
Ernst Albrecht,,3MF,(1907-11-12)12 November 1907 (aged 26),17,Fortuna Düsseldorf,Germany,Germany,1934,0
Jakob Bender,,3MF,(1910-03-23)23 March 1910 (aged 24),3,Fortuna Düsseldorf,Germany,Germany,1934,0
Fritz Buchloh,,1GK,(1909-11-26)26 November 1909 (aged 24),5,VfB Speldorf,Germany,Germany,1934,0
Willy Busch,,2DF,(1907-01-04)4 January 1907 (aged 27),2,TuS Duisburg,Germany,Germany,1934,0
Edmund Conen,,4FW,(1914-11-10)10 November 1914 (aged 19),1,FV Saarbrücken,Germany,Germany,1934,0
Franz Dienert,,4FW,(1900-01-01)1 January 1900 (aged 34),0,VfB Mühlburg,Germany,Germany,1934,0
Rudolf Gramlich,,3MF,(1908-06-06)6 June 1908 (aged 25),7,Eintracht Frankfurt,Germany,Germany,1934,0
Sigmund Haringer,,2DF,(1908-12-09)9 December 1908 (aged 25),8,Bayern Munich,Germany,Germany,1934,0
Matthias Heidemann,,4FW,(1912-02-07)7 February 1912 (aged 22),1,Werder Bremen,Germany,Germany,1934,0
Karl Hohmann,,3MF,(1908-06-18)18 June 1908 (aged 25),8,VfL Benrath,Germany,Germany,1934,0
Hans Jakob,,1GK,(1908-06-16)16 June 1908 (aged 25),8,Jahn Regensburg,Germany,Germany,1934,0
Paul Janes,,2DF,(1912-03-10)10 March 1912 (aged 22),5,Fortuna Düsseldorf,Germany,Germany,1934,0
Stanislaus Kobierski,,4FW,(1910-11-15)15 November 1910 (aged 23),12,Fortuna Düsseldorf,Germany,Germany,1934,0
Willibald Kreß,,1GK,(1906-11-13)13 November 1906 (aged 27),13,Dresdner SC,Germany,Germany,1934,0
Ernst Lehner,,4FW,(1912-11-07)7 November 1912 (aged 21),3,TSV Schwaben Augsburg,Germany,Germany,1934,0
Reinhold Münzenberg,,2DF,(1909-01-25)25 January 1909 (aged 25),4,Alemannia Aachen,Germany,Germany,1934,0
Rudolf Noack,,4FW,(1913-03-20)20 March 1913 (aged 21),1,SV Hamburg,Germany,Germany,1934,0
Hans Schwartz,,2DF,(1913-03-01)1 March 1913 (aged 21),0,Viktoria Hamburg,Germany,Germany,1934,0
Otto Siffling,,4FW,(1912-08-03)3 August 1912 (aged 21),0,Waldhof Mannheim,Germany,Germany,1934,0
Josef Streb,,4FW,(1912-04-16)16 April 1912 (aged 22),0,Wacker München,Germany,Germany,1934,0
Fritz Szepan (c),,4FW,(1907-09-02)2 September 1907 (aged 26),4,Schalke 04,Germany,Germany,1934,0
Paul Zielinski,,3MF,(1911-11-20)20 November 1911 (aged 22),0,Union Hamborn,Germany,Germany,1934,0
István Avar,,4FW,(1905-05-30)30 May 1905 (aged 28),17,Újpest,Hungary,Hungary,1934,0
Sándor Bíró,,2DF,(1911-08-19)19 August 1911 (aged 22),13,Hungária,Hungary,Hungary,1934,0
János Dudás,,3MF,(1913-02-13)13 February 1913 (aged 21),0,Hungária,Hungary,Hungary,1934,0
Gyula Futó,,2DF,(1908-12-29)29 December 1908 (aged 25),0,Újpest,Hungary,Hungary,1934,0
József Háda,,1GK,(1911-03-02)2 March 1911 (aged 23),11,Ferencváros,Hungary,Hungary,1934,0
Tibor Kemény,,4FW,(1913-03-05)5 March 1913 (aged 21),5,Ferencváros,Hungary,Hungary,1934,0
Gyula Lázár,,3MF,(1911-01-24)24 January 1911 (aged 23),19,Ferencváros,Hungary,Hungary,1934,0
Imre Markos,,4FW,(1908-06-09)9 June 1908 (aged 25),13,Debreceni Bocskai,Hungary,Hungary,1934,0
István Palotás,,3MF,(1908-03-05)5 March 1908 (aged 26),4,Debreceni Bocskai,Hungary,Hungary,1934,0
Gyula Polgár,,3MF,(1912-02-08)8 February 1912 (aged 22),5,Ferencváros,Hungary,Hungary,1934,0
György Sárosi,,4FW,(1912-09-15)15 September 1912 (aged 21),22,Ferencváros,Hungary,Hungary,1934,0
Rezső Somlai,,3MF,(1911-05-22)22 May 1911 (aged 23),0,Kispest,Hungary,Hungary,1934,0
László Sternberg,,2DF,(1905-05-28)28 May 1905 (aged 28),7,Újpest,Hungary,Hungary,1934,0
Antal Szabó,,1GK,(1910-09-04)4 September 1910 (aged 23),10,Hungária,Hungary,Hungary,1934,0
Gábor P. Szabó,,4FW,(1902-10-14)14 October 1902 (aged 31),10,Újpest,Hungary,Hungary,1934,0
Antal Szalay,,3MF,(1912-03-12)12 March 1912 (aged 22),8,Újpest,Hungary,Hungary,1934,0
György Szűcs,,3MF,(1912-04-23)23 April 1912 (aged 22),3,Újpest,Hungary,Hungary,1934,0
István Tamássy,,4FW,(1906-06-30)30 June 1906 (aged 27),1,Újpest,Hungary,Hungary,1934,0
Pál Teleki,,4FW,(1906-03-05)5 March 1906 (aged 28),6,Debreceni Bocskai,Hungary,Hungary,1934,0
Géza Toldi,,4FW,(1909-02-11)11 February 1909 (aged 25),21,Ferencváros,Hungary,Hungary,1934,0
József Vágó,,2DF,(1906-06-30)30 June 1906 (aged 27),1,Debreceni Bocskai,Hungary,Hungary,1934,0
Jenő Vincze,,4FW,(1908-11-20)20 November 1908 (aged 25),5,Debreceni Bocskai,Hungary,Hungary,1934,0
Luigi Allemandi,,2DF,(1903-11-18)18 November 1903 (aged 30),9,Ambrosiana-Inter,Italy,Italy,1934,0
Pietro Arcari,,4FW,(1909-12-02)2 December 1909 (aged 24),0,Milan,Italy,Italy,1934,0
Luigi Bertolini,,3MF,(1904-09-13)13 September 1904 (aged 29),19,Juventus,Italy,Italy,1934,0
Felice Borel,,4FW,(1914-04-05)5 April 1914 (aged 20),2,Juventus,Italy,Italy,1934,0
Umberto Caligaris,,2DF,(1901-07-26)26 July 1901 (aged 32),59,Juventus,Italy,Italy,1934,0
Armando Castellazzi,,3MF,(1904-10-07)7 October 1904 (aged 29),2,Ambrosiana-Inter,Italy,Italy,1934,0
Giuseppe Cavanna,,1GK,(1905-09-18)18 September 1905 (aged 28),0,Napoli,Italy,Italy,1934,0
Gianpiero Combi (c),,1GK,(1902-11-20)20 November 1902 (aged 31),42,Juventus,Italy,Italy,1934,0
Attilio Demaria,,4FW,(1909-03-19)19 March 1909 (aged 25),1,Ambrosiana-Inter,Italy,Italy,1934,0
Giovanni Ferrari,,4FW,(1907-12-06)6 December 1907 (aged 26),19,Juventus,Italy,Italy,1934,0
Attilio Ferraris,,3MF,(1904-03-26)26 March 1904 (aged 30),22,Roma,Italy,Italy,1934,0
Enrique Guaita,,4FW,(1910-07-11)11 July 1910 (aged 23),2,Roma,Italy,Italy,1934,0
Anfilogino Guarisi,,4FW,(1905-12-26)26 December 1905 (aged 28),5,Lazio,Italy,Italy,1934,0
Guido Masetti,,1GK,(1907-11-22)22 November 1907 (aged 26),0,Roma,Italy,Italy,1934,0
Giuseppe Meazza,,3MF,(1910-08-23)23 August 1910 (aged 23),22,Ambrosiana-Inter,Italy,Italy,1934,0
Luis Monti,,3MF,(1901-05-15)15 May 1901 (aged 33),10,Juventus,Italy,Italy,1934,0
Eraldo Monzeglio,,2DF,(1906-06-05)5 June 1906 (aged 27),12,Bologna,Italy,Italy,1934,0
Raimundo Orsi,,4FW,(1901-12-02)2 December 1901 (aged 32),27,Juventus,Italy,Italy,1934,0
Mario Pizziolo,,3MF,(1909-12-07)7 December 1909 (aged 24),8,Fiorentina,Italy,Italy,1934,0
Virginio Rosetta,,2DF,(1902-02-25)25 February 1902 (aged 32),51,Juventus,Italy,Italy,1934,0
Angelo Schiavio,,4FW,(1905-10-15)15 October 1905 (aged 28),17,Bologna,Italy,Italy,1934,0
Mario Varglien,,3MF,(1905-12-26)26 December 1905 (aged 28),0,Juventus,Italy,Italy,1934,0
Wim Anderiesen,,3MF,(1903-11-27)27 November 1903 (aged 30),20,Ajax,Netherlands,Netherlands,1934,0
Beb Bakhuys,,4FW,(1909-04-16)16 April 1909 (aged 25),7,ZAC,Netherlands,Netherlands,1934,0
Jan Graafland,,4FW,(1909-08-21)21 August 1909 (aged 24),0,HBS Craeyenhout,Netherlands,Netherlands,1934,0
Leo Halle,,1GK,(1903-02-17)17 February 1903 (aged 31),2,Go Ahead Eagles Deventer,Netherlands,Netherlands,1934,0
Wim Langendaal,,4FW,(1909-04-13)13 April 1909 (aged 25),0,Xerxes Rotterdam,Netherlands,Netherlands,1934,0
Kees Mijnders,,4FW,(1912-09-28)28 September 1912 (aged 21),3,DFC Dordrecht,Netherlands,Netherlands,1934,0
Jaap Mol,,4FW,(1912-02-03)3 February 1912 (aged 22),5,KFC (Kooger FC),Netherlands,Netherlands,1934,0
Toon Oprinsen,,3MF,(1910-11-25)25 November 1910 (aged 23),1,NOAD Breda,Netherlands,Netherlands,1934,0
Bas Paauwe,,3MF,(1911-10-04)4 October 1911 (aged 22),1,Feijenoord,Netherlands,Netherlands,1934,0
Henk Pellikaan,,3MF,(1910-11-10)10 November 1910 (aged 23),10,Longa Tilburg,Netherlands,Netherlands,1934,0
Arend Schoemaker,,4FW,(1911-11-08)8 November 1911 (aged 22),1,Quick Den Haag,Netherlands,Netherlands,1934,0
Kick Smit,,4FW,(1911-11-03)3 November 1911 (aged 22),4,HFC Haarlem,Netherlands,Netherlands,1934,0
Gejus van der Meulen,,1GK,(1903-01-23)23 January 1903 (aged 31),53,Koninklijke HFC,Netherlands,Netherlands,1934,0
Jan van Diepenbeek,,2DF,(1903-08-05)5 August 1903 (aged 30),2,Ajax,Netherlands,Netherlands,1934,0
Puck van Heel (c),,3MF,(1904-01-21)21 January 1904 (aged 30),41,Feijenoord,Netherlands,Netherlands,1934,0
Adri van Male,,1GK,(1910-10-07)7 October 1910 (aged 23),4,Feijenoord,Netherlands,Netherlands,1934,0
Joop van Nellen,,4FW,(1910-03-15)15 March 1910 (aged 24),17,DHC,Netherlands,Netherlands,1934,0
Sjef van Run,,2DF,(1904-01-12)12 January 1904 (aged 30),19,PSV,Netherlands,Netherlands,1934,0
Leen Vente,,4FW,(1911-05-14)14 May 1911 (aged 23),5,Neptunus Rotterdam,Netherlands,Netherlands,1934,0
Manus Vrauwdeunt,,4FW,(1915-04-29)29 April 1915 (aged 19),0,Feijenoord,Netherlands,Netherlands,1934,0
